"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs13403179-<b>C</b>,"8 x 10-8",,0.054,2.947,'-,[1.989-4.386],NBAS,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,2:15342628
rs675531-<b>C</b>,"7 x 10-7",,0.113,2.193,'-,[1.610-2.994],THEMIS,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,6:127719694
rs35766269-<b>A</b>,"1 x 10-7",,0.580,1.946,'-,[1.529-2.494],"LINC00709, AC044784.1","Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,10:8981852
rs9540294-<b>G</b>,"1 x 10-8",,0.083,2.655,'-,[1.904-3.717],"STARP1, LGMNP1","Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,13:64989899
rs3099143-<b>C</b>,"3 x 10-7",,0.137,2.126,'-,[1.594-2.841],SCAPER,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,15:76812515
rs4952590-<b>?</b>,"2 x 10-6",,0.86,1.92,'-,[1.27-2.86],PKDCC,Atopy,atopy,GCST000540,2:42049781
"rs1015362-<b>G</b>, rs4911414-<b>T</b>","2 x 10-24",,0.08,1.76,'-,[1.49-2.08],"AL031668.2 - ASIP; AL031668.2 - ASIP","Skin sensitivity to sun","skin sensitivity to sun",GCST000195,20:34150806|20:34141638
rs6059655-<b>A</b>,"1 x 10-7",,0.0959999999999999,'-,"0.22 unit decrease",[0.30232-0.13768],RALY,"Skin sensitivity to sun","skin sensitivity to sun",GCST002908,20:34077942
rs149963581-<b>C</b>,"2 x 10-7",,0.03,'-,"0.441 unit increase",[0.28-0.61],HERC2,"Skin sensitivity to sun","skin sensitivity to sun",GCST002908,15:28212394
rs12931267-<b>G</b>,"8 x 10-23",,0.091,'-,"0.441 unit decrease",[0.5292-0.3528],FANCA,"Skin sensitivity to sun","skin sensitivity to sun",GCST002908,16:89752324
rs16891982-<b>C</b>,"7 x 10-6",,0.061,'-,"0.31 unit increase",[0.17-0.45],SLC45A2,"Skin sensitivity to sun","skin sensitivity to sun",GCST002908,5:33951588
rs9271588-<b>G</b>,"1 x 10-26",,0.523,2.3,'-,[1.98-2.70],"HLA-DQA1, HLA-DRB1","Hydrolysed wheat protein allergy","wheat allergic reaction",GCST009143,6:32623176
rs59325236-<b>A</b>,"1 x 10-8",,0.024,2.57,'-,[1.85-3.55],RBFOX1,"Hydrolysed wheat protein allergy","wheat allergic reaction",GCST009143,16:7706047
rs2155219-<b>T</b>,"1 x 10-8",,0.47,1.22,'-,[1.14-1.31],"EMSY, AP001189.2","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,11:76588150
rs17513503-<b>G</b>,"1 x 10-8",,0.09,1.39,'-,[1.24-1.56],"SLC25A46, AC008782.1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,5:110810746
rs2069772-<b>C</b>,"1 x 10-6",,0.30,1.19,'-,[1.11-1.28],IL2,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,4:122451978
rs631208-<b>A</b>,"2 x 10-6",,0.60,1.18,'-,[1.10-1.26],"LINC02177, RPL21P119","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,16:9305867
rs6673480-<b>T</b>,"2 x 10-6",,0.07,1.35,'-,[1.19-1.52],EPS15,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,1:51393570
rs6554809-<b>C</b>,"3 x 10-6",,0.84,1.29,'-,[1.16-1.43],DNAH5,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,5:13740867
rs7617456-<b>G</b>,"3 x 10-6",,0.59,1.18,'-,[1.10-1.26],"NPHP3-AS1, AC079942.1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,3:133009059
rs1325195-<b>A</b>,"5 x 10-6",,0.59,1.17,'-,[1.10-1.26],ABL2,"IgE grass sensitization","seasonal allergic rhinitis",GCST001303,1:179102621
rs1044573-<b>A</b>,"1 x 10-6",,0.51,1.15,'-,[1.09-1.21],ENTPD6,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,20:25226018
rs6898653-<b>G</b>,"1 x 10-6",,0.22,1.23,'-,[1.13-1.34],"SEMA6A-AS2, RPS17P2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:116639960
rs887864-<b>A</b>,"1 x 10-6",,0.63,1.16,'-,[1.09-1.23],CLEC16A,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,16:11065028
rs2155219-<b>T</b>,"4 x 10-8",,0.47,1.17,'-,[1.11-1.24],"EMSY, AP001189.2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,11:76588150
rs17513503-<b>G</b>,"7 x 10-7",,0.09,1.28,'-,[1.16-1.41],"SLC25A46, AC008782.1","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:110810746
rs216518-<b>A</b>,"2 x 10-6",,0.15,1.21,'-,[1.12-1.31],"AL157756.1, RPL17P2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,14:60216712
rs6586513-<b>C</b>,"4 x 10-6",,0.29,1.24,'-,[1.13-1.36],CROCC,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,1:16889836
rs1898671-<b>T</b>,"5 x 10-6",,0.35,1.15,'-,[1.08-1.22],TSLP,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:111072304
rs4724100-<b>C</b>,"2 x 10-6",,0.45,1.14,'-,[1.08-1.21],GLI3,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,7:42225080
rs7775228-<b>C</b>,"2 x 10-9",,0.13,1.33,'-,[1.21-1.45],"MTCO3P1, HLA-DQB1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,6:32690302
rs20541-<b>A</b>,"1 x 10-6",,0.2019,'-,"0.0724 unit increase",[0.043-0.101],"TH2LCRR, IL13","Self-reported allergy",allergy,GCST002083,5:132660272
rs6457730-<b>A</b>,"1 x 10-6",,0.0115,'-,"0.275 unit increase",[0.16-0.39],"GGNBP1, ZBTB9","Self-reported allergy",allergy,GCST002083,6:33518955
rs10796051-<b>C</b>,"7 x 10-6",,0.4488,'-,"0.0532 unit increase",[0.030-0.076],"PHYH, UCMA","Self-reported allergy",allergy,GCST002083,10:13268071
rs10893845-<b>T</b>,"6 x 10-7",,0.5074,'-,"0.059 unit decrease",[0.036-0.082],"ETS1, LINC02098","Self-reported allergy",allergy,GCST002083,11:128316987
rs8034004-<b>C</b>,"6 x 10-6",,0.4435,'-,"0.0611 unit increase",[0.035-0.088],"LINC02205, AC009434.1","Self-reported allergy",allergy,GCST002083,15:70506220
rs1316453-<b>C</b>,"7 x 10-6",,0.3466,'-,"0.0624 unit increase",[0.035-0.090],RBFOX3,"Self-reported allergy",allergy,GCST002083,17:79414777
