"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs13403179-<b>C</b>,"8 x 10-8",,0.054,2.947,'-,[1.989-4.386],NBAS,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,2:15342628
rs675531-<b>C</b>,"7 x 10-7",,0.113,2.193,'-,[1.610-2.994],THEMIS,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,6:127719694
rs35766269-<b>A</b>,"1 x 10-7",,0.580,1.946,'-,[1.529-2.494],"LINC00709, AC044784.1","Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,10:8981852
rs9540294-<b>G</b>,"1 x 10-8",,0.083,2.655,'-,[1.904-3.717],"STARP1, LGMNP1","Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,13:64989899
rs3099143-<b>C</b>,"3 x 10-7",,0.137,2.126,'-,[1.594-2.841],SCAPER,"Recalcitrant atopic dermatitis","recalcitrant atopic dermatitis",GCST002880,15:76812515
rs7927894-<b>A</b>,"8 x 10-10",,0.36,1.22,'-,[1.15-1.30],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST000374,11:76590272
rs9368677-<b>G</b>,"1 x 10-17",,0.798,1.36,'-,[1.27-1.46],HLA-B,"Atopic dermatitis","atopic eczema",GCST001709,6:31304544
rs13015714-<b>G</b>,"8 x 10-18",,0.412,1.27,'-,[1.20-1.34],IL18R1,"Atopic dermatitis","atopic eczema",GCST001709,2:102355405
rs11236809-<b>G</b>,"3 x 10-6",,0.25,1.24,'-,[NR],LINC02757,"Atopic dermatitis","atopic eczema",GCST001709,11:76621166
rs593982-<b>C</b>,"6 x 10-7",,0.53,1.23,'-,[NR],"KRT8P26, AP001266.2","Atopic dermatitis","atopic eczema",GCST001709,11:65745636
rs1295686-<b>T</b>,"2 x 10-6",,0.30,1.22,'-,[NR],"IL13, TH2LCRR","Atopic dermatitis","atopic eczema",GCST001709,5:132660151
rs176095-<b>T</b>,"8 x 10-20",,0.81,1.4,'-,[1.30-1.51],"PBX2, GPSM3","Atopic dermatitis","atopic eczema",GCST001709,6:32190542
rs9469099-<b>G</b>,"5 x 10-19",,0.909,1.61,'-,[1.44-1.80],"TSBP1-AS1, TSBP1","Atopic dermatitis","atopic eczema",GCST001709,6:32341131
rs878860-<b>G</b>,"2 x 10-22",,0.537,1.31,'-,[1.24-1.38],"OR10A3, NLRP10","Atopic dermatitis","atopic eczema",GCST001709,11:7946812
rs2271404-<b>G</b>,"3 x 10-7",,0.238,1.17,'-,[1.10-1.25],MIR4435-2HG,"Atopic dermatitis","atopic eczema",GCST001709,2:111246290
rs7613051-<b>A</b>,"6 x 10-21",,0.453,1.29,'-,[1.22-1.36],GLB1,"Atopic dermatitis","atopic eczema",GCST001709,3:33023847
rs12634229-<b>G</b>,"2 x 10-19",,0.327,1.29,'-,[1.22-1.37],"AC048334.1, CCDC80","Atopic dermatitis","atopic eczema",GCST001709,3:112657461
rs4722404-<b>G</b>,"8 x 10-9",,0.326,1.18,'-,[1.12-1.25],AC024028.1,"Atopic dermatitis","atopic eczema",GCST001709,7:3089155
rs7815944-<b>A</b>,"4 x 10-7",,0.673,1.16,'-,[1.10-1.23],LINC00824,"Atopic dermatitis","atopic eczema",GCST001709,8:128415272
rs10995251-<b>C</b>,"6 x 10-20",,0.511,1.28,'-,[1.22-1.36],"AC024598.1, AC067752.1","Atopic dermatitis","atopic eczema",GCST001709,10:62638706
rs1444418-<b>A</b>,"2 x 10-7",,0.676,1.17,'-,[1.10-1.24],AC067751.1,"Atopic dermatitis","atopic eczema",GCST001709,10:62800710
rs9923856-<b>A</b>,"6 x 10-6",,0.781,1.17,'-,[1.09-1.25],CLEC16A,"Atopic dermatitis","atopic eczema",GCST001709,16:11116558
rs16999165-<b>T</b>,"2 x 10-8",,0.692,1.19,'-,[1.12-1.26],"AL133335.2, PFDN4","Atopic dermatitis","atopic eczema",GCST001709,20:54190682
rs6661961-<b>T</b>,"9 x 10-11",,NR,'-,"0.338 unit increase",[0.24-0.44],"FLG-AS1, LCE5A","Atopic dermatitis","atopic eczema",GCST002100,1:152469813
rs1295686-<b>A</b>,"2 x 10-17",,NR,1.383,'-,[1.283-1.49],"IL13, TH2LCRR","Atopic dermatitis","atopic eczema",GCST002100,5:132660151
rs12153855-<b>T</b>,"3 x 10-14",,NR,1.581,'-,[1.405-1.779],"TNXB, AL662884.2","Atopic dermatitis","atopic eczema",GCST002100,6:32107027
rs7130588-<b>G</b>,"4 x 10-13",,NR,1.29,'-,[1.2-1.38],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST002100,11:76559639
rs3126085-<b>A</b>,"6 x 10-12",,0.58,1.22,'-,[NR],FLG-AS1,"Atopic dermatitis","atopic eczema",GCST001106,1:152328341
rs67766926-<b>?</b>,"7 x 10-9",(Shared),NR,'-,'-,'-,"REL, NONOP2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,2:60936446
rs73510898-<b>?</b>,"8 x 10-8",(Shared),NR,'-,'-,'-,"ZGLP1, AC011511.1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,19:10305768
rs9952991-<b>?</b>,"1 x 10-7",(Shared),NR,'-,'-,'-,"PTPN2, AP005482.2","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,18:12780465
rs1528473-<b>?</b>,"3 x 10-7",(Shared),NR,'-,'-,'-,"AC025272.1, AC011912.1","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,15:55094545
rs2059876-<b>?</b>,"4 x 10-7",(Shared),NR,'-,'-,'-,CHST8,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,19:33639430
rs45616239-<b>?</b>,"1 x 10-6",(Shared),NR,'-,'-,'-,KIAA1109,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,4:122335010
rs12001137-<b>?</b>,"2 x 10-6",(Shared),NR,'-,'-,'-,AL353595.1,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,9:11964872
rs2218565-<b>?</b>,"2 x 10-6",(Shared),NR,'-,'-,'-,PRR5L,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,11:36314713
rs7798970-<b>?</b>,"3 x 10-6",(Shared),NR,'-,'-,'-,STEAP2-AS1,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,7:90006910
rs1012621-<b>?</b>,"5 x 10-6",(Shared),NR,'-,'-,'-,"AL121899.2, TGM3","Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,20:2325666
rs11189494-<b>?</b>,"7 x 10-6",(Shared),NR,'-,'-,'-,R3HCC1L,"Inflammatory skin disease","atopic eczema, psoriasis",GCST002740,10:98153375
